name;category
[No Color/Any Color];Gray
[Unknown];Gray
Glitter Trans-Clear;Gray
Glow In Dark Opaque;Gray
Glow In Dark Trans;Gray
Modulex Clear;Gray
Trans-Clear;Gray
Blue;Blue
Blue-Violet;Blue
Bright Light Blue;Blue
Chrome Blue;Blue
Dark Azure;Blue
Dark Blue;Blue
Dark Blue-Violet;Blue
Maersk Blue;Blue
Medium Blue;Blue
Metal Blue;Blue
Modulex Foil Dark Blue;Blue
Modulex Medium Blue;Blue
Modulex Teal Blue;Blue
Modulex Tile Blue;Blue
Royal Blue;Blue
Sand Blue;Blue
Trans-Dark Blue;Blue
Trans-Light Royal Blue;Blue
Trans-Medium Blue;Blue
Trans-Very Lt Blue;Blue
Violet;Blue
Aqua;Cyan
Dark Turquoise;Cyan
Glitter Trans-Light Blue;Cyan
Light Aqua;Cyan
Light Blue;Cyan
Light Turquoise;Cyan
Medium Azure;Cyan
Modulex Aqua Green;Cyan
Modulex Foil Light Blue;Cyan
Modulex Pastel Blue;Cyan
Pastel Blue;Cyan
Sky Blue;Cyan
Trans-Light Blue;Cyan
Vintage Blue;Cyan
Black;Gray
Chrome Black;Gray
Chrome Silver;Gray
Dark Bluish Gray;Gray
Dark Gray;Gray
Flat Silver;Gray
Glow in Dark White;Gray
Light Bluish Gray;Gray
Light Gray;Gray
Metallic Silver;Gray
Milky White;Gray
Modulex Black;Gray
Modulex Charcoal Gray;Gray
Modulex Foil Dark Gray;Gray
Modulex Foil Light Gray;Gray
Modulex Light Bluish Gray;Gray
Modulex Light Gray;Gray
Modulex Tile Gray;Gray
Modulex White;Gray
Pearl Dark Gray;Gray
Pearl Light Gray;Gray
Pearl Very Light Gray;Gray
Pearl White;Gray
Speckle Black-Copper;Gray
Speckle Black-Gold;Gray
Speckle Black-Silver;Gray
Speckle DBGray-Silver;Gray
Trans-Black;Gray
Trans-Black IR Lens;Gray
Very Light Bluish Gray;Gray
Very Light Gray;Gray
White;Gray
Bright Pink;Magenta
Chrome Pink;Magenta
Coral;Magenta
Dark Pink;Magenta
Dark Purple;Magenta
Glitter Trans-Dark Pink;Magenta
Glitter Trans-Purple;Magenta
Lavender;Magenta
Light Purple;Magenta
Light Violet;Magenta
Magenta;Magenta
Medium Dark Pink;Magenta
Medium Lavender;Magenta
Medium Violet;Magenta
Modulex Foil Violet;Magenta
Modulex Pink;Magenta
Modulex Violet;Magenta
Pink;Magenta
Purple;Magenta
Reddish Lilac;Magenta
Sand Purple;Magenta
Trans-Dark Pink;Magenta
Trans-Light Purple;Magenta
Trans-Pink;Magenta
Trans-Purple;Magenta
Brown;Red
Copper;Red
Dark Brown;Red
Dark Flesh;Red
Dark Orange;Red
Dark Red;Red
Dark Tan;Red
Fabuland Brown;Red
Flesh;Red
Light Pink;Red
Light Salmon;Red
Medium Dark Flesh;Red
Modulex Brown;Red
Modulex Foil Red;Red
Modulex Orange;Red
Modulex Pink Red;Red
Modulex Red;Red
Modulex Tile Brown;Red
Orange;Red
Red;Red
Reddish Brown;Red
Rust;Red
Salmon;Red
Sand Red;Red
Trans-Neon Orange;Red
Trans-Orange;Red
Trans-Red;Red
Vintage Red;Red
Bright Green;Green
Chrome Green;Green
Dark Green;Green
Glitter Trans-Neon Green;Green
Green;Green
Light Green;Green
Light Lime;Green
Lime;Green
Medium Green;Green
Medium Lime;Green
Metallic Green;Green
Modulex Foil Dark Green;Green
Modulex Foil Light Green;Green
Modulex Olive Green;Green
Modulex Pastel Green;Green
Modulex Terracotta;Green
Olive Green;Green
Sand Green;Green
Trans-Bright Green;Green
Trans-Green;Green
Vintage Green;Green
Yellowish Green;Green
Bright Light Orange;Yellow
Bright Light Yellow;Yellow
Chrome Antique Brass;Yellow
Chrome Gold;Yellow
Earth Orange;Yellow
Fabuland Orange;Yellow
Flat Dark Gold;Yellow
Light Flesh;Yellow
Light Orange;Yellow
Light Yellow;Yellow
Medium Orange;Yellow
Metallic Gold;Yellow
Modulex Buff;Yellow
Modulex Foil Orange;Yellow
Modulex Foil Yellow;Yellow
Modulex Lemon;Yellow
Modulex Light Orange;Yellow
Modulex Light Yellow;Yellow
Modulex Ochre Yellow;Yellow
Pearl Gold;Yellow
Pearl Light Gold;Yellow
Tan;Yellow
Trans-Fire Yellow;Yellow
Trans-Neon Green;Yellow
Trans-Neon Yellow;Yellow
Trans-Yellow;Yellow
Very Light Orange;Yellow
Vintage Yellow;Yellow
Yellow;Yellow
Trans-Flame Yellowish Orange;Yellow
